id	index	title	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	genre
0	5661	Love U Better (feat. Lil Wayne & The-Dream)	0.482	0.477	10	-8.444	0	0.0503	0.0201	0	0.251	0.388	117.85	hiphop
1	6719	For Whom The Bell Tolls - Remastered	0.518	0.858	0	-6.147	1	0.0672	0.00563	0.00349	0.0598	0.242	117.897	metal
2	6357	So Hard To Breathe	0.543	0.819	11	-5.151	0	0.0732	0.0185	0	0.207	0.365	84.541	hiphop
3	8849	Black Metal	0.291	0.758	1	-12.103	1	0.0556	0.000918	0.00000684	0.291	0.448	80.601	metal
4	14251	There Will Be Rest	0.0975	0.0696	3	-24.941	1	0.0408	0.992	0.461	0.101	0.0353	80.872	classical
5	2545	The Killing Moon	0.522	0.85	7	-4.769	1	0.0361	0.132	0.0338	0.295	0.723	124.216	indie_alt
6	2918	The World Is New	0.562	0.907	10	-4.667	1	0.128	0.105	0.0000313	0.231	0.836	95.892	punk
7	1041	Heart of Gold	0.292	0.949	3	-4.773	1	0.117	0.00174	0	0.291	0.386	164.196	indie_alt
8	18869	Awake Me	0.521	0.15	4	-11.852	1	0.0316	0.958	0.0258	0.083	0.0391	117.172	romance
9	20404	Sweet Home Chicago	0.584	0.842	7	-4.386	1	0.0378	0.458	0.0000103	0.0801	0.714	139.868	blues
10	18137	Original	0.721	0.824	2	-3.149	1	0.0457	0.00193	0	0.2	0.767	96.966	latin
11	732	Trebles Finals: Bright Lights Bigger City/Magic	0.691	0.525	9	-7.185	0	0.217	0.222	0	0.186	0.413	112.636	pop
12	4298	Give It Away	0.666	0.936	7	-9.919	1	0.0476	0.00244	0.086	0.153	0.793	91.577	rock
13	18131	Worry, Worry	0.761	0.744	4	-6.125	0	0.12	0.286	0.00000482	0.0882	0.379	94.957	latin
14	11762	Rebel Hifi	0.764	0.748	6	-6.278	1	0.188	0.224	0.0944	0.12	0.821	137.885	reggae
15	14662	Bonnie Banks Of Loch Lomond	0.271	0.212	2	-15.31	1	0.0392	0.925	0.14	0.13	0.112	108.797	classical
16	13181	Scherzo a la russe (original Jazz band version, 1944)	0.584	0.294	7	-16.759	1	0.0514	0.898	0.883	0.0544	0.183	130.018	classical
17	16205	Caviar (Remix) [feat. Kevin Roldan & Darell]	0.556	0.563	3	-7.415	0	0.352	0.754	0	0.106	0.5	97.934	latin
18	545	Cotton Eye Joe	0.738	0.937	9	-7.788	0	0.0668	0.0124	0.00206	0.0338	0.623	131.994	pop
19	147	Rake It Up	0.91	0.444	1	-8.126	0	0.344	0.022	0	0.137	0.524	149.953	pop
20	4201	Whatever Forever	0.5	0.787	10	-4.08	0	0.0611	0.0213	0.0000703	0.129	0.594	187.828	rock
21	12013	La Scandinavie: III. Polska norvégien	0.304	0.0589	7	-22.829	0	0.0425	0.989	0.921	0.0951	0.0993	126.77	classical
22	243	The Last Of The Real Ones	0.582	0.891	8	-5.239	1	0.0457	0.00635	0	0.201	0.534	115.027	pop
23	4553	Crazy For This Girl	0.457	0.926	0	-5.461	1	0.038	0.000487	0.0000569	0.0949	0.406	93.964	rock
24	3601	Inside You	0.661	0.608	10	-9.516	0	0.0291	0.378	0.163	0.0823	0.961	87.174	funk
25	14002	"Choral ""Jesu, meine Freude"" de la Cantate ""Herz und Mund Tat und Leben"" en sol majeur, BWV 147"	0.298	0.0357	7	-31.271	1	0.0403	0.995	0.864	0.123	0.397	67.197	classical
26	19493	Bad Things	0.318	0.586	2	-7.606	0	0.0375	0.383	0	0.145	0.189	80.806	romance
27	15598	Superstition	0.648	0.751	8	-8.582	1	0.0806	0.0182	0.000401	0.0418	0.867	100.437	party
28	18673	"Que Me Alcance la Vida - Primera Fila Acústico ""Una Última Vez - Encore"""	0.461	0.229	11	-13.082	1	0.0449	0.935	0	0.944	0.275	122.285	romance
29	1956	Fade Into You	0.42	0.33	9	-13.925	1	0.0275	0.245	0.000679	0.0677	0.173	157.143	indie_alt
30	6619	Bodak Yellow	0.929	0.723	11	-5.792	0	0.109	0.0672	0	0.346	0.468	125.022	hiphop
31	1597	Rebellion (Lies)	0.574	0.236	9	-15.057	1	0.0307	0.895	0.784	0.109	0.146	116.923	indie_alt
32	20494	Can't Turn Back the Clock	0.703	0.677	4	-8.25	1	0.0367	0.509	0.00000226	0.36	0.739	140.051	blues
33	4801	Butterfly	0.736	0.811	9	-4.17	0	0.081	0.00132	0.000142	0.107	0.603	103.502	rock
34	10212	Dolemite	0.655	0.913	1	-6.443	1	0.084	0.0111	0.916	0.423	0.754	132.763	jazz
35	4125	Little One	0.474	0.351	7	-7.533	1	0.0292	0.0122	0.00000735	0.112	0.108	139.827	rock
36	2686	Lifestyles of the Rich & Famous	0.62	0.93	1	-3.685	1	0.0374	0.00043	0	0.0686	0.573	106.22	punk
37	847	Had Me Goin'	0.75	0.462	1	-8.341	0	0.165	0.747	0	0.109	0.285	155.796	pop
38	9665	American Slang	0.601	0.583	2	-5.947	1	0.0353	0.0265	0	0.0644	0.0399	120.065	country
39	13897	3 Intermezzi, Op. 13: No. 1. Andante espressivo	0.263	0.0316	10	-24.116	1	0.0403	0.988	0.895	0.0858	0.0764	90.561	classical
40	7865	Like Sand	0.528	0.906	6	-4.598	1	0.0482	0.00176	0.00648	0.104	0.347	114.983	metal
41	1787	Drinking Song	0.544	0.539	0	-5.09	1	0.0292	0.0882	0	0.142	0.229	120.877	indie_alt
42	17867	El Perdón	0.628	0.69	8	-5.828	1	0.0511	0.446	0	0.112	0.669	179.911	latin
43	0	Dusk Till Dawn - Radio Edit	0.258	0.437	11	-6.593	0	0.039	0.101	0.00000127	0.106	0.0967	180.043	pop
44	18606	Candela	0.525	0.619	9	-12.322	1	0.0354	0.719	0.000168	0.289	0.807	101.045	latin
