title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
"Piano Sonata, Op. 70 'Le retour à Paris': I. Allegro non troppo ed espressivo",0.307,0.101,8,-23.282,Major,0.0357,0.991,0.893,0.118,0.12,93.295,classical
Memorandum,0.264,0.908,7,-2.709,Major,0.0584,0.00037,0.00445,0.042,0.239,193.024,indie_alt
The Observatory,0.418,0.854,9,-4.707,Minor,0.0433,0.00000899,0.337,0.394,0.228,114.971,metal
All The Things you Are,0.594,0.115,8,-14.916,Major,0.044,0.99,0.853,0.107,0.477,126.902,jazz
El Perdedor,0.702,0.73,0,-5.173,Minor,0.099,0.425,0.00000125,0.148,0.875,173.967,latin
Don't Waste the Night,0.568,0.699,1,-4.866,Minor,0.0323,0.253,0,0.281,0.558,109.945,country
Feels Like Falling in Love,0.49,0.885,5,-3.726,Major,0.0397,0.126,0,0.138,0.611,145.03,rock
Ms.Prettybooty,0.79,0.311,10,-7.893,Minor,0.0925,0.554,0.52,0.141,0.717,87.995,jazz
Too Sweet For Words,0.598,0.357,3,-11.303,Major,0.0437,0.993,0.000572,0.175,0.796,135.278,jazz
You Got to Love Me,0.766,0.396,7,-12.673,Minor,0.0406,0.137,0.0436,0.052,0.181,113.005,party
Bailando,0.656,0.939,2,-4.948,Minor,0.0377,0.0164,0.193,0.0594,0.639,125.974,party
Dust My Broom,0.526,0.664,2,-6.62,Major,0.0354,0.247,0.0124,0.289,0.803,101.928,blues
Used,0.379,0.0938,2,-10.95,Major,0.0391,0.938,0,0.0861,0.186,114.199,romance
Pumped Up Kicks,0.733,0.71,5,-5.849,Minor,0.0292,0.145,0.115,0.0956,0.963,127.975,indie_alt
Mercyful Fate,0.328,0.952,1,-4.037,Major,0.0635,0.0000112,0.000334,0.0721,0.542,139.295,metal
Tea for Two,0.358,0.452,1,-13.02,Major,0.0347,0.991,0.864,0.14,0.537,166.973,jazz
Crazy in Love,0.233,0.3,2,-15.242,Minor,0.035,0.937,0.896,0.105,0.0336,170.816,classical
Needle and a Knife,0.617,0.891,6,-5.456,Major,0.0277,0.00539,0.00901,0.0609,0.964,100.616,indie_alt
Sugar (Live from SXSW 2016),0.358,0.831,4,-5.047,Major,0.462,0.073,0,0.758,0.549,150.991,country
The Warriors,0.206,0.284,9,-16.265,Minor,0.044,0.943,0.896,0.219,0.0377,143.971,classical
Las Verdes y Bellas Campiñas,0.31,0.251,10,-13.376,Major,0.0287,0.866,0.837,0.0993,0.461,88.344,romance
Ceres,0.206,0.0608,9,-26.73,Major,0.0379,0.697,0.328,0.0837,0.039,107.652,classical
Howlin' For You,0.708,0.737,11,-6.665,Minor,0.0943,0.0299,0.0804,0.101,0.458,132.612,rock
Counting Stars,0.663,0.714,1,-4.944,Minor,0.038,0.0649,0,0.116,0.471,121.99,pop
Holy Roller,0.515,0.818,4,-9.577,Minor,0.0572,0.0394,0.00621,0.093,0.414,113.85,funk
Can't Let You Go,0.448,0.529,2,-5.208,Major,0.0337,0.598,0,0.194,0.338,132.066,romance
The 'In' Crowd - Instrumental,0.662,0.583,7,-16.027,Major,0.0789,0.513,0.0457,0.964,0.609,142.313,jazz
All Of Me,0.217,0.0857,10,-21.5,Major,0.0442,0.944,0.837,0.0956,0.22,93.986,classical
Promise,0.627,0.624,9,-5.954,Major,0.0429,0.398,0.00000201,0.096,0.413,61.625,romance
Panzer Battalion,0.297,0.731,9,-7.332,Minor,0.0402,0.000611,0.0102,0.114,0.0906,158.157,metal
"Symphony No. 1 in D major, Wq. 183/1: Symphony No. 1 in D major, Wq. 183/1: I. Allegro di molto",0.292,0.164,1,-17.792,Major,0.0342,0.912,0.0296,0.177,0.28,149.46,classical
Smoke Gets in Your Eyes,0.339,0.0977,4,-24.358,Major,0.0368,0.99,0.936,0.102,0.229,85.877,jazz
Moanin',0.488,0.476,5,-10.316,Minor,0.0497,0.438,0.000279,0.11,0.585,110.951,jazz
Idfc,0.63,0.5,1,-8.755,Minor,0.0611,0.611,0.0000404,0.114,0.321,144.871,pop
"10 Preludes, Op.23: No.5 Alla marcia In G Minor",0.341,0.33,7,-12.718,Minor,0.0394,0.984,0.908,0.106,0.148,120.338,classical
Kryptonite,0.547,0.87,11,-5.098,Minor,0.0286,0.00494,0.0000348,0.161,0.526,99.014,rock
"The Seasons, Op. 37a: VI. June: Barcarolle",0.385,0.0115,7,-28.865,Minor,0.0438,0.993,0.879,0.117,0.157,63.843,classical
If Looks Could Kill,0.435,0.905,0,-5.77,Major,0.0594,0.00000585,0.00117,0.0953,0.768,155.069,metal
If,0.951,0.661,7,-2.678,Minor,0.0612,0.397,0,0.0686,0.918,104.997,hiphop
Sea Change,0.681,0.496,0,-7.916,Minor,0.031,0.0567,0.337,0.126,0.27,134.953,indie_alt
Regardless - Frost Remix,0.838,0.427,9,-12.289,Minor,0.0775,0.292,0.353,0.108,0.139,120.986,party
Anna Lee,0.505,0.52,9,-7.1,Minor,0.0262,0.0305,0,0.2,0.0969,129.296,metal
I Like You,0.657,0.356,3,-11.808,Major,0.0362,0.343,0.00000127,0.11,0.386,78.914,romance
String Quartet No. 2: IV. —,0.442,0.316,2,-9.676,Minor,0.0408,0.991,0.355,0.119,0.0767,124.211,classical
"Massenet: Manon, Act 3 Tableau 1 Scene 4: ""Obéissons, quand leur voix appelle … Profitons bien de la jeunesse"" (Manon, Brétigny, Chorus) - Gavotte",0.296,0.0627,7,-20.764,Major,0.0994,0.973,0.0000312,0.757,0.0639,175.841,classical
Strong Eye,0.45,0.938,7,-10.31,Major,0.118,0.000056,0.819,0.111,0.0433,100.053,metal
Lovesong,0.69,0.373,0,-9.454,Minor,0.0284,0.722,0.00103,0.111,0.332,116.925,romance
Quimbara,0.6,0.713,4,-5.592,Minor,0.0737,0.674,0.000248,0.0628,0.964,119.674,latin
Volver Volver,0.376,0.52,9,-2.822,Major,0.0376,0.654,0.0121,0.404,0.476,165.839,latin
Bodak Yellow,0.929,0.723,11,-5.792,Minor,0.109,0.0672,0,0.346,0.468,125.022,hiphop
Living With The Blues,0.774,0.11,0,-18.928,Major,0.16,0.869,0.0000927,0.104,0.375,111.887,blues
Thanks A Million,0.662,0.81,9,-9.396,Major,0.0316,0.0105,0.0733,0.166,0.455,120.01,party
Zombie,0.302,0.704,7,-6.851,Major,0.0384,0.0174,0.00166,0.36,0.29,166.66,rock
In Case You Didn't Know,0.596,0.544,10,-7.294,Major,0.0315,0.397,0,0.106,0.381,147.976,country
Children of Stone,0.436,0.994,1,-3.389,Minor,0.0942,0.00000539,0.884,0.164,0.0811,115.003,metal
We Were That Song,0.618,0.911,9,-3.323,Major,0.05,0.216,0,0.132,0.501,102.956,country
Liar Liar - Recorded at Spotify Studios NYC,0.34,0.53,8,-10.514,Major,0.0448,0.296,0.00311,0.129,0.183,73.017,country
Stay Close To Me,0.527,0.914,11,-5.36,Minor,0.066,0.0000997,0,0.254,0.816,140.016,rock
Spawn Tyrant,0.454,0.992,7,-5.581,Major,0.154,0.00000187,0.755,0.0542,0.111,119.996,metal
"지금 여기, 이곳에서 (Duet With 루시아) , 지금 여기, 이곳에서",0.214,0.484,9,-5.44,Major,0.0324,0.837,0.0000966,0.114,0.267,81.625,indie_alt
"The Planets - Suite for large orchestra, Op.32: I. Mars, the Bringer of War (Allegro)",0.198,0.296,0,-19.854,Major,0.0425,0.76,0.911,0.372,0.0745,153.306,classical
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",0.805,0.582,2,-5.657,Minor,0.0627,0.0971,0,0.163,0.317,117.955,latin
Sunset,0.112,0.358,0,-13.927,Major,0.0325,0.951,0.858,0.111,0.0935,45.803,classical
Pride,0.723,0.621,0,-11.32,Major,0.0695,0.0799,0.00596,0.349,0.766,130.356,funk
Down in Flames,0.818,0.381,8,-8.241,Minor,0.153,0.067,0.0267,0.0961,0.0538,137.093,indie_alt
Stepping Stone,0.209,0.627,9,-5.573,Major,0.0367,0.00669,0.0225,0.0893,0.553,75.811,indie_alt
Amor Divino,0.575,0.756,3,-7.1,Major,0.0297,0.594,0.0000148,0.108,0.917,138.745,latin
Museum (With Moeun),0.747,0.28,6,-6.218,Minor,0.0478,0.849,0.000146,0.174,0.342,112.202,romance
Both (feat. Drake),0.85,0.405,7,-7.509,Minor,0.225,0.119,0.000118,0.0707,0.337,139.976,hiphop
Your Smile,0.561,0.49,10,-10.303,Minor,0.0466,0.22,0.00000211,0.0939,0.397,142.974,romance
Mother Mother,0.369,0.633,2,-7.019,Major,0.0692,0.0136,0,0.205,0.626,174.311,rock
Ain't No Rest for the Wicked,0.634,0.849,0,-7.075,Major,0.105,0.0438,0,0.363,0.91,156.004,rock
Play Something Country,0.684,0.909,0,-3.797,Major,0.0321,0.0782,0.00000122,0.373,0.88,115.034,party
Cotton Candy (feat. Burna Boy),0.679,0.43,10,-14.491,Minor,0.244,0.464,0.00000444,0.0885,0.709,108.041,hiphop
,0.714,0.821,6,-7.635,Major,0.176,0.041,0,0.116,0.649,95.999,latin
Argument,0.632,0.977,11,-4.969,Minor,0.0645,0.0000887,0.0282,0.141,0.476,147.993,party
